ts,action,side,requested_position_ratio,filled_position_ratio,price,fee,slippage,notional,margin_required,realized_pnl,reason_code
2026-01-13 09:00:00+00:00,HOLD,LONG,0.05178249776363373,0.05178249776363373,92156.12754,0.000482785826921463,2.0,1.0356499552726746,0.05178249776363373,0.0,HOLD_SIGNAL_VALID
2026-01-13 10:00:00+00:00,HOLD,LONG,0.050199636816978456,0.050199636816978456,92258.04792,0.0004954487144947052,2.0,1.003992736339569,0.050199636816978456,0.0,HOLD_SIGNAL_VALID
2026-01-13 11:00:00+00:00,HOLD,LONG,0.05076314210891724,0.05076314210891724,92111.01852,0.000490940672159195,2.0,1.0152628421783447,0.05076314210891724,0.0,HOLD_SIGNAL_VALID
2026-01-13 12:00:00+00:00,CLOSE,FLAT,0.0,0.0,91962.1,0.0008970458090305328,0.0,0.0,0.0,0.0,CLOSE_MAX_HOLD_BARS
2026-01-13 13:00:00+00:00,HOLD,FLAT,0.0,0.0,92076.3,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-13 14:00:00+00:00,HOLD,FLAT,0.0,0.0,92021.0,0.0,0.0,0.0,0.0,0.0,WATCH_SLOW_UPTREND
2026-01-13 15:00:00+00:00,OPEN_LONG,LONG,0.04,0.04,92432.68284,0.00032,2.0,0.8,0.04,0.0,OPEN_LONG_SLOW_TREND
2026-01-13 16:00:00+00:00,HOLD,LONG,0.050881655514240266,0.050881655514240266,93426.58158,8.705324411392212e-05,2.0,1.0176331102848053,0.050881655514240266,0.0,UPGRADE_SLOW_LONG_TO_TREND
2026-01-13 17:00:00+00:00,HOLD,LONG,0.05231747776269913,0.05231747776269913,93360.26832,9.8539822101593e-05,2.0,1.0463495552539825,0.05231747776269913,0.0,HOLD_SLOW_UPTREND
2026-01-13 18:00:00+00:00,HOLD,LONG,0.050324623286724095,0.050324623286724095,93209.1381,8.259698629379275e-05,2.0,1.0064924657344818,0.050324623286724095,0.0,HOLD_SLOW_UPTREND
2026-01-13 19:00:00+00:00,HOLD,LONG,0.052074831724166874,0.052074831724166874,93599.81622000001,9.6598653793335e-05,2.0,1.0414966344833374,0.052074831724166874,0.0,HOLD_SLOW_UPTREND
2026-01-13 20:00:00+00:00,HOLD,LONG,0.05222397148609162,0.05222397148609162,94198.43592,9.779177188873294e-05,2.0,1.0444794297218323,0.05222397148609162,0.0,HOLD_SLOW_UPTREND
2026-01-13 21:00:00+00:00,HOLD,LONG,0.05300249606370926,0.05300249606370926,94367.8698,0.00010401996850967409,2.0,1.0600499212741852,0.05300249606370926,0.0,HOLD_SLOW_UPTREND
2026-01-13 22:00:00+00:00,HOLD,LONG,0.05316771119832993,0.05316771119832993,94058.808,0.00010534168958663943,2.0,1.0633542239665985,0.05316771119832993,0.0,HOLD_SLOW_UPTREND
2026-01-13 23:00:00+00:00,HOLD,LONG,0.05097234100103379,0.05097234100103379,95749.54607999999,8.77787280082703e-05,2.0,1.0194468200206757,0.05097234100103379,0.0,HOLD_SLOW_UPTREND
