time,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,close_time,amount
2025-11-22 13:00:00+00:00,83845.2,84100.0,83607.4,83908.0,3808.204,319421049.8568,132788,1857.411,155792974.5442,2025-11-22 13:59:59.999000+00:00,319421049.8568
2025-11-22 14:00:00+00:00,83907.9,84712.7,83892.5,84451.5,6387.293,539023608.2507,217668,3248.474,274126702.3146,2025-11-22 14:59:59.999000+00:00,539023608.2507
2025-11-22 15:00:00+00:00,84451.4,84535.7,83968.6,84239.9,3626.999,305472975.771,136886,1817.622,153072350.4419,2025-11-22 15:59:59.999000+00:00,305472975.771
2025-11-22 16:00:00+00:00,84239.9,84888.0,84175.0,84659.7,3867.911,327095546.5017,136592,2083.435,176199239.8163,2025-11-22 16:59:59.999000+00:00,327095546.5017
2025-11-22 17:00:00+00:00,84659.6,84690.0,84385.2,84515.5,2549.043,215464444.1929,98432,1087.112,91895976.6389,2025-11-22 17:59:59.999000+00:00,215464444.1929
2025-11-22 18:00:00+00:00,84515.2,84648.4,84425.9,84624.8,1368.798,115712878.6751,70418,744.044,62898695.6205,2025-11-22 18:59:59.999000+00:00,115712878.6751
2025-11-22 19:00:00+00:00,84624.8,84761.8,84463.6,84566.7,1277.356,108089385.9167,63674,649.377,54949400.0663,2025-11-22 19:59:59.999000+00:00,108089385.9167
2025-11-22 20:00:00+00:00,84566.8,84779.8,84193.8,84426.7,2127.776,179783777.2992,82769,1038.792,87783635.7077,2025-11-22 20:59:59.999000+00:00,179783777.2992
2025-11-22 21:00:00+00:00,84426.7,84481.1,84195.4,84370.0,1464.153,123483220.1929,66562,713.969,60217298.5287,2025-11-22 21:59:59.999000+00:00,123483220.1929
2025-11-22 22:00:00+00:00,84370.1,85238.3,84234.8,85020.6,3648.478,309436335.8328,103787,2312.802,196176484.0297,2025-11-22 22:59:59.999000+00:00,309436335.8328
2025-11-22 23:00:00+00:00,85020.5,85139.9,84618.0,84689.4,2783.861,236237068.27,116108,1241.7,105376808.5762,2025-11-22 23:59:59.999000+00:00,236237068.27
2025-11-23 00:00:00+00:00,84689.4,85286.8,84622.0,84929.1,4931.119,419226171.6389,157324,2849.795,242250629.8258,2025-11-23 00:59:59.999000+00:00,419226171.6389
2025-11-23 01:00:00+00:00,84929.2,86200.0,84910.8,85837.5,7771.988,665470794.4749,216103,4630.617,396569616.5963,2025-11-23 01:59:59.999000+00:00,665470794.4749
2025-11-23 02:00:00+00:00,85837.5,86300.0,85629.3,85948.4,7590.733,652850908.9055,230469,3591.728,308953507.3143,2025-11-23 02:59:59.999000+00:00,652850908.9055
2025-11-23 03:00:00+00:00,85948.5,86261.0,85764.1,86261.0,3906.257,335782208.1204,144631,2145.19,184430986.6234,2025-11-23 03:59:59.999000+00:00,335782208.1204
2025-11-23 04:00:00+00:00,86261.0,86826.8,86104.8,86499.3,9344.478,808295970.1528,237196,4950.488,428259786.114,2025-11-23 04:59:59.999000+00:00,808295970.1528
2025-11-23 05:00:00+00:00,86499.4,86540.5,85935.0,86315.3,4479.883,386331433.6171,121108,1753.792,151244473.3934,2025-11-23 05:59:59.999000+00:00,386331433.6171
2025-11-23 06:00:00+00:00,86315.2,86458.7,85819.8,85819.8,4422.867,380788144.4222,119772,1769.644,152412012.2336,2025-11-23 06:59:59.999000+00:00,380788144.4222
2025-11-23 07:00:00+00:00,85819.8,85881.5,85348.7,85732.0,6355.218,544143265.5557,156341,2789.785,238923845.7205,2025-11-23 07:59:59.999000+00:00,544143265.5557
2025-11-23 08:00:00+00:00,85732.1,86158.7,85724.7,86100.0,4861.159,417767586.2042,125862,2476.639,212851046.852,2025-11-23 08:59:59.999000+00:00,417767586.2042
2025-11-23 09:00:00+00:00,86100.0,86438.5,86031.6,86348.2,3362.555,289902275.5149,101408,1692.414,145916402.0498,2025-11-23 09:59:59.999000+00:00,289902275.5149
2025-11-23 10:00:00+00:00,86348.2,86410.0,86000.0,86023.9,3830.884,330097130.4229,99982,1602.423,138093729.1142,2025-11-23 10:59:59.999000+00:00,330097130.4229
2025-11-23 11:00:00+00:00,86024.0,86379.9,85777.9,86290.3,4619.143,397445209.2476,123540,2112.049,181767961.3268,2025-11-23 11:59:59.999000+00:00,397445209.2476
2025-11-23 12:00:00+00:00,86290.3,86858.0,86222.0,86485.1,8362.02,724068016.3413,206684,4009.026,347135108.0817,2025-11-23 12:59:59.999000+00:00,724068016.3413
2025-11-23 13:00:00+00:00,86485.1,86899.0,86270.4,86887.9,5122.232,443537912.0515,150965,2659.056,230283426.1251,2025-11-23 13:59:59.999000+00:00,443537912.0515
2025-11-23 14:00:00+00:00,86887.9,87178.9,86444.0,86512.2,8131.938,705915561.6803,215823,3807.503,330610415.5484,2025-11-23 14:59:59.999000+00:00,705915561.6803
2025-11-23 15:00:00+00:00,86512.3,87222.0,86406.1,87042.8,5229.063,454026670.4262,158644,2739.849,237946774.675,2025-11-23 15:59:59.999000+00:00,454026670.4262
